Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption)
Afghanistan,Southern Asia,3.36,154,0.38227,0.17344,0.1643,0.07112
Albania,Central and Eastern Europe,4.655,109,0.9553,0.73007,0.31866,0.05301
Algeria,Middle East and Northern Africa,6.355,38,1.05266,0.61804,0.21006,0.16157
Angola,Sub-Saharan Africa,3.866,141,0.84731,0.04991,0.00589,0.08434
Argentina,Latin America and Caribbean,6.65,26,1.15137,0.69711,0.42284,0.07296
Armenia,Central and Eastern Europe,4.36,121,0.86086,0.64083,0.14037,0.03616
Australia,Australia and New Zealand,7.313,9,1.44443,0.8512,0.56837,0.32331
Austria,Western Europe,7.119,12,1.45038,0.80565,0.54355,0.21348
Azerbaijan,Central and Eastern Europe,5.291,81,1.12373,0.54504,0.35327,0.17914
Bahrain,Middle East and Northern Africa,6.218,42,1.44024,0.65696,0.47375,0.25772
Bangladesh,Southern Asia,4.643,110,0.54177,0.52989,0.39778,0.12583
Belarus,Central and Eastern Europe,5.802,61,1.13062,0.63104,0.29091,0.17457
Belgium,Western Europe,6.929,18,1.42539,0.81959,0.51354,0.26248
Belize,Latin America and Caribbean,5.956,52,0.87616,0.45569,0.51231,0.10771
Benin,Sub-Saharan Africa,3.484,153,0.39499,0.21028,0.39747,0.06681
Bhutan,Southern Asia,5.196,84,0.8527,0.49759,0.46074,0.1616
Bolivia,Latin America and Caribbean,5.822,59,0.79422,0.4697,0.50961,0.07746
Bosnia and Herzegovina,Central and Eastern Europe,5.163,87,0.93383,0.70766,0.09511,0
Botswana,Sub-Saharan Africa,3.974,137,1.09426,0.34752,0.44089,0.10769
Brazil,Latin America and Caribbean,6.952,17,1.08754,0.61415,0.40425,0.14166
Bulgaria,Central and Eastern Europe,4.217,129,1.11306,0.67806,0.21219,0.00615
Burkina Faso,Sub-Saharan Africa,3.739,145,0.31995,0.21297,0.3337,0.12533
Burundi,Sub-Saharan Africa,2.905,157,0.06831,0.15747,0.0432,0.09419
Cambodia,Southeastern Asia,3.907,140,0.55604,0.42494,0.58852,0.08092
