Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Health (Life Expectancy),Freedom to make life choices,Perceptions of corruption
Afghanistan,Southern Asia,3.632,145,0.332,0.255,0.085,0.036
Albania,Central and Eastern Europe,4.586,112,0.916,0.79,0.419,0.032
Algeria,Middle East and Northern Africa,5.295,84,0.979,0.687,0.077,0.135
Angola,Sub-Saharan Africa,3.795,142,0.73,0.269,0,0.061
Argentina,Latin America and Caribbean,6.388,29,1.073,0.744,0.57,0.054
Armenia,Central and Eastern Europe,4.321,129,0.816,0.666,0.26,0.028
Australia,Australia and New Zealand,7.272,10,1.34,0.91,0.647,0.302
Austria,Western Europe,7.139,12,1.341,0.891,0.617,0.224
Azerbaijan,Central and Eastern Europe,5.201,87,1.024,0.603,0.43,0.176
Bahrain,Middle East and Northern Africa,6.105,43,1.338,0.698,0.594,0.123
Bangladesh,Southern Asia,4.5,115,0.532,0.579,0.58,0.144
Belarus,Central and Eastern Europe,5.483,73,1.039,0.7,0.307,0.154
Belgium,Western Europe,6.927,16,1.324,0.894,0.583,0.24
Belize,,5.956,49,0.807,0.474,0.593,0.089
Benin,Sub-Saharan Africa,4.141,136,0.378,0.24,0.44,0.067
Bhutan,Southern Asia,5.082,97,0.796,0.527,0.541,0.171
Bolivia,Latin America and Caribbean,5.752,62,0.751,0.508,0.606,0.054
Bosnia and Herzegovina,Central and Eastern Europe,5.129,93,0.915,0.758,0.28,0
Botswana,Sub-Saharan Africa,3.59,146,1.017,0.417,0.557,0.092
Brazil,Latin America and Caribbean,6.419,28,0.986,0.675,0.493,0.088
Bulgaria,Central and Eastern Europe,4.933,100,1.054,0.712,0.359,0.009
Burkina Faso,Sub-Saharan Africa,4.424,121,0.314,0.254,0.312,0.128
Burundi,Sub-Saharan Africa,2.905,156,0.091,0.145,0.065,0.076
Cambodia,Southeastern Asia,4.433,120,0.549,0.457,0.696,0.065
Cameroon,Sub-Saharan Africa,4.975,99,0.535,0.182,0.454,0.043
Canada,North America,7.328,7,1.33,0.896,0.653,0.291
Central African Republic,Sub-Saharan Africa,3.083,155,0.024,0.01,0.305,0.038
Chad,Sub-Saharan Africa,4.301,131,0.358,0.053,0.189,0.06
Chile,Latin America and Caribbean,6.476,25,1.131,0.808,0.431,0.061
China,Eastern Asia,5.246,86,0.989,0.799,0.597,0.103
Colombia,Latin America and Caribbean,6.26,37,0.96,0.635,0.531,0.039
