Country,Region,Happiness score,Happiness Rank,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Afghanistan,,2404,146,758,289,0,5
Albania,,5199,90,1439,719,511,28
Algeria,,5122,96,1363,643,146,150
Argentina,,5967,57,1592,662,555,85
Armenia,,5399,82,1434,668,558,210
Australia,,7162,12,1900,772,676,341
Austria,,7163,11,1931,774,623,329
Azerbaijan*,,5173,92,1458,560,601,341
Bahrain,,6647,21,1854,625,693,155
Bangladesh,,5155,94,1060,581,622,187
Belarus*,,5821,65,1562,629,342,282
Belgium,,6805,19,1907,764,492,204
Benin,,4623,115,932,335,479,230
Bolivia,,5600,71,1256,555,627,64
Bosnia and Herzegovina,,5768,67,1468,665,448,6
Botswana*,,3471,142,1503,280,571,102
Brazil,,6293,38,1462,615,546,134
Bulgaria,,5371,85,1625,640,563,21
Burkina Faso,,4670,113,779,320,382,126
Cambodia,,4640,114,1019,505,740,68
Cameroon,,5048,102,968,317,397,74
Canada,,7025,15,1886,783,659,368
Chad*,,4251,130,662,225,180,77
Chile,,6172,44,1651,748,460,69
China,,5585,72,1508,705,656,142
Colombia,,5781,66,1452,720,545,77
Comoros*,,4609,116,899,424,185,125
Congo,,5075,99,950,355,431,146
Costa Rica,,6582,23,1584,744,661,102
Croatia,,6125,47,1705,709,535,0
Cyprus,,6221,41,1815,819,448,62
Czechia,,6920,18,1815,715,660,48
Denmark,,7636,2,1953,777,719,532
Dominican Republic,,5737,69,1538,577,606,179
Ecuador,,5533,76,1352,708,565,83
Egypt,,4288,129,1388,548,469,254
El Salvador,,6120,49,1265,607,666,212
Estonia,,6341,36,1793,728,689,333
"Eswatini, Kingdom of*",,4396,125,1274,197,259,154
Ethiopia,,4241,131,788,457,472,136
Finland,,7821,1,1892,775,736,534
France,,6687,20,1863,808,567,266
Gabon,,4958,106,1459,396,343,99
Gambia*,,5164,93,785,369,367,103
Georgia,,4973,105,1467,595,508,208
Germany,,7034,14,1924,776,585,358
Ghana,,4872,111,1112,409,500,56
Greece,,5948,58,1703,774,249,108
Guatemala*,,6262,39,1274,522,662,115
Guinea,,4891,109,848,275,334,116
Honduras,,6022,55,1111,555,582,76
Hong Kong S.A.R. of China,,5425,81,1957,942,400,383
Hungary,,6086,51,1748,668,485,64
Iceland,,7557,3,1936,803,718,191
India,,3777,136,1167,471,647,123
Indonesia,,5240,87,1382,539,620,47
Iran,,4888,110,1410,642,281,146
Iraq,,4941,107,1289,554,328,46
Ireland,,7041,13,2129,779,627,408
Israel,,7364,9,1826,818,568,143
Italy,,6467,31,1834,801,412,59
Ivory Coast,,5235,88,1094,322,451,124
Jamaica,,5850,63,1296,646,567,53
Japan,,6039,54,1835,866,537,218
Jordan,,4152,134,1324,675,476,200
Kazakhstan,,6234,40,1668,611,584,157
Kenya,,4543,119,1032,401,440,82
Kosovo,,6455,32,1362,569,599,35
Kuwait*,,6106,50,1904,747,617,147
Kyrgyzstan,,5828,64,1069,638,693,25
Laos,,5140,95,1239,479,679,184
Latvia,,6180,42,1732,637,502,90
Lebanon,,2955,145,1392,631,103,34
